ISO,adm0,cent_lon,cent_lat
ISR,ISRAEL,35.01316867,31.45568158
ITA,ITALY,12.07820001,42.78972812
JAM,JAMAICA,-77.31031154,18.15688944
JPN,JAPAN,137.9494373,37.53119621
JEY,JERSEY,-2.132466676,49.21382318
JOR,JORDAN,36.78888363,31.2492614
KAZ,KAZAKHSTAN,67.25516613,48.15737876
KEN,KENYA,37.84566798,0.552740914
KIR,KIRIBATI,-39.19725471,0.564676734
KWT,KUWAIT,47.61299138,29.35404166
KGZ,KYRGYZSTAN,74.56038889,41.46504747
LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC,103.7672902,18.49518157
LVA,LATVIA,24.93158492,56.85330089
LBN,LEBANON,35.89170193,33.91956626
LSO,LESOTHO,28.24668416,-29.58296167
LBR,LIBERIA,-9.307268563,6.445287665
LBY,LIBYAN ARAB JAMAHIRIYA,18.03117099,27.04032325
LIE,LIECHTENSTEIN,9.553804778,47.14246314
LTU,LITHUANIA,23.9049656,55.33487481
LUX,LUXEMBOURG,6.094189195,49.77649888
MAC,MACAO,113.5606508,22.1631951
MKD,"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF",21.69197597,41.59296349
MDG,MADAGASCAR,46.69861835,-19.37564815
MWI,MALAWI,34.30048214,-13.215077
MYS,MALAYSIA,109.7058757,3.794283389
MDV,MALDIVES,73.22535966,3.718028928
MLI,MALI,-3.522152416,17.35624109
MLT,MALTA,14.3990134,35.92322952
MHL,MARSHALL ISLANDS,168.9954874,8.660982319
MTQ,MARTINIQUE,-61.01775541,14.65263713
MRT,MAURITANIA,-10.33709294,20.26514892
MUS,MAURITIUS,57.89582387,-20.11977368
MYT,MAYOTTE,45.14840448,-12.82122007
MEX,MEXICO,-102.5470716,23.95053382
FSM,"MICRONESIA, FEDERATED STATES OF",154.6491748,7.081244351
MDA,"MOLDOVA, REPUBLIC OF",28.46852642,47.20411188
MCO,MONACO,7.423269093,43.73567913
MNG,MONGOLIA,103.067029,46.83639072
MNE,MONTENEGRO,19.23710139,42.77737641
MSR,MONTSERRAT,-62.18968497,16.73945201
MAR,MOROCCO,-6.276138678,31.84655878
MOZ,MOZAMBIQUE,35.55143741,-17.25958075
MMR,MYANMAR,96.51047901,21.11712641
NAM,NAMIBIA,17.22051083,-22.13957602
NRU,NAURU,166.9344837,-0.528470427
NPL,NEPAL,83.94608234,28.25904123
NLD,NETHERLANDS,5.574516393,52.2631824
NCL,NEW CALEDONIA,165.6998478,-21.30640338
NZL,NEW ZEALAND,171.4427131,-41.81850381
NIC,NICARAGUA,-85.03839015,12.84390878
NER,NIGER,9.401243939,17.42437016
NGA,NIGERIA,8.097575008,9.592267701
NIU,NIUE,-169.8585491,-19.05241416
NFK,NORFOLK ISLAND,167.9523317,-29.0382441
PRK,"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",127.1627788,40.13434638
XNC,NOTHERN CYPRUS,33.59932845,35.27783414
MNP,NORTHERN MARIANA ISLANDS,145.600406,16.01238172
NOR,NORWAY,14.06965882,64.45838135
OMN,OMAN,56.09542169,20.5864242
PAK,PAKISTAN,69.39831465,29.96371294
PLW,PALAU,134.4945321,7.402705414
PSE,"PALESTINIAN TERRITORY, OCCUPIED",35.20917632,31.9160648
PAN,PANAMA,-80.10902175,8.513100069
PNG,PAPUA NEW GUINEA,145.252318,-6.477286817
PRY,PARAGUAY,-58.39278757,-23.24297308
PER,PERU,-74.35651807,-9.173382933
PHL,PHILIPPINES,122.8657568,11.73598812
PCN,PITCAIRN,-128.4954759,-24.42617582
POL,POLAND,19.40426831,52.12384203
PRT,PORTUGAL,-8.514975674,39.59654814
PRI,PUERTO RICO,-66.46814778,18.22200984
QAT,QATAR,51.19034426,25.28222472
COG,CONGO,15.24502246,-0.832438083
REU,REUNION,55.53268484,-21.13334828
ROU,ROMANIA,24.98558804,45.83971021
RUS,RUSSIAN FEDERATION,96.72319943,61.980721
RWA,RWANDA,29.92599493,-1.99992837
BLM,SAINT BARTHELEMY,-62.83374121,17.90634307
MAF,SAINT MARTIN,-63.06026161,18.07951308
SHN,SAINT HELENA,-10.48682824,-25.73934041
